Timestamp;Power
1738251210;375747.342
1738251211;375747.348
1738251212;375747.348
1738251213;375747.345
1738251214;375747.349
1738251215;375747.347
1738251241;375747.346
1738251242;375747.345
1738251243;375747.346
1738251244;375747.345
1738251245;375747.347
1738251246;375747.346
1738251247;375747.347
1738251248;375747.344
1738251249;375747.348
1738251250;375747.347
1738251251;375747.347
1738251252;375747.347
1738251253;375747.345
1738251254;375747.344
1738251255;375747.347
1738251256;375747.346
